Basement,Full Baths,Other Improvements,Basement Finish,Sale Price,Type of Residence,Attic Type,Estimate (Building),Building Square Feet,property_city,Fireplaces
1.0,2.0,0.0,3.0,405000,2.0,3.0,268660.0,2616.0,SCHAUMBURG,1.0
1.0,2.0,0.0,3.0,326500,2.0,3.0,134640.0,1646.0,SCHAUMBURG,1.0
3.0,2.0,0.0,1.0,250500,4.0,2.0,184290.0,1296.0,SCHAUMBURG,1.0
3.0,2.0,0.0,1.0,250500,4.0,2.0,233000.0,1296.0,SCHAUMBURG,1.0
,,,,150000,,,92900.0,,SCHAUMBURG,
3.0,2.0,138.0,3.0,377000,2.0,3.0,273240.0,1992.0,SCHAUMBURG,2.0
2.0,2.0,0.0,3.0,195000,2.0,3.0,134650.0,1065.0,SCHAUMBURG,0.0
,1.0,,,182100,,,96250.0,,SCHAUMBURG,
2.0,2.0,0.0,3.0,265000,2.0,3.0,235700.0,2188.0,SCHAUMBURG,0.0
3.0,1.0,0.0,1.0,290000,4.0,3.0,198910.0,1232.0,SCHAUMBURG,2.0
2.0,2.0,0.0,3.0,335000,1.0,3.0,253340.0,2323.0,SCHAUMBURG,0.0
,,,,187450,,,97930.0,,SCHAUMBURG,
2.0,1.0,0.0,3.0,250000,1.0,3.0,191300.0,1510.0,SCHAUMBURG,1.0
,1.0,,,175000,,,65960.0,,SCHAUMBURG,
,1.0,,,155000,,,110160.0,,SCHAUMBURG,
,1.0,,,155000,,,106300.0,,SCHAUMBURG,
,,,,189000,,,108970.0,,SCHAUMBURG,
,,,,189000,,,92860.0,,SCHAUMBURG,
,1.0,,,176000,,,104790.0,,SCHAUMBURG,
,1.0,,,176000,,,93500.0,,SCHAUMBURG,
1.0,3.0,0.0,3.0,565000,2.0,3.0,378190.0,3070.0,SCHAUMBURG,1.0
2.0,1.0,49.0,3.0,250000,1.0,3.0,199680.0,1386.0,SCHAUMBURG,2.0
,1.0,,,200000,,,118750.0,,SCHAUMBURG,
,1.0,,,200000,,,133670.0,,SCHAUMBURG,
,1.0,,,155000,,,66560.0,,SCHAUMBURG,
,1.0,,,185000,,,93070.0,,SCHAUMBURG,
,1.0,,,147500,,,101560.0,,SCHAUMBURG,
,1.0,,,147500,,,101560.0,,SCHAUMBURG,
3.0,2.0,0.0,3.0,500000,2.0,3.0,453210.0,2293.0,SCHAUMBURG,1.0
,,,,170000,,,31000.0,,SCHAUMBURG,
3.0,2.0,0.0,1.0,335000,2.0,3.0,294090.0,2292.0,SCHAUMBURG,1.0
,1.0,,,174000,,,68010.0,,SCHAUMBURG,
2.0,1.0,0.0,3.0,255000,1.0,3.0,170410.0,1188.0,SCHAUMBURG,1.0
2.0,1.0,0.0,3.0,149000,2.0,3.0,91380.0,1250.0,SCHAUMBURG,0.0
1.0,3.0,0.0,3.0,661000,2.0,3.0,453500.0,3310.0,SCHAUMBURG,1.0
3.0,1.0,0.0,1.0,230000,4.0,3.0,191130.0,1075.0,SCHAUMBURG,0.0
,,,,191000,,,131020.0,,SCHAUMBURG,
3.0,1.0,0.0,1.0,285500,4.0,3.0,237000.0,1266.0,SCHAUMBURG,0.0
2.0,2.0,0.0,3.0,225500,2.0,3.0,131340.0,1767.0,SCHAUMBURG,0.0
,,,,192000,,,119680.0,,SCHAUMBURG,
,,,,192000,,,101990.0,,SCHAUMBURG,
2.0,2.0,0.0,3.0,240000,2.0,3.0,196290.0,1454.0,SCHAUMBURG,2.0
,,,,186500,,,104710.0,,SCHAUMBURG,
,1.0,,,125000,,,62060.0,,SCHAUMBURG,
,1.0,,,158000,,,100910.0,,SCHAUMBURG,
,1.0,,,200000,,,77120.0,,SCHAUMBURG,
,1.0,,,140000,,,100910.0,,SCHAUMBURG,
2.0,2.0,0.0,3.0,234000,1.0,3.0,194990.0,1138.0,SCHAUMBURG,0.0
,1.0,,,135000,,,82620.0,,SCHAUMBURG,
,1.0,,,165600,,,97900.0,,SCHAUMBURG,
4.0,1.0,0.0,3.0,167000,1.0,3.0,127330.0,1027.0,SCHAUMBURG,0.0
,,,,185000,,,60050.0,,SCHAUMBURG,
3.0,2.0,430.0,1.0,436000,2.0,3.0,242980.0,2273.0,SCHAUMBURG,1.0
3.0,2.0,430.0,1.0,436000,2.0,3.0,242980.0,2273.0,SCHAUMBURG,1.0
,1.0,,,167000,,,109950.0,,SCHAUMBURG,
2.0,2.0,0.0,3.0,205000,2.0,3.0,163280.0,1525.0,SCHAUMBURG,0.0
,1.0,,,83000,,,41530.0,,SCHAUMBURG,
,1.0,,,83000,,,41320.0,,SCHAUMBURG,
2.0,1.0,0.0,3.0,250000,1.0,3.0,152240.0,1149.0,SCHAUMBURG,0.0
2.0,1.0,0.0,3.0,250000,1.0,3.0,170410.0,1149.0,SCHAUMBURG,0.0
1.0,2.0,0.0,3.0,416000,2.0,3.0,259450.0,2296.0,SCHAUMBURG,1.0
,1.0,,,171000,,,67060.0,,SCHAUMBURG,
2.0,2.0,0.0,3.0,302000,2.0,3.0,211540.0,1768.0,SCHAUMBURG,1.0
3.0,2.0,0.0,1.0,320000,4.0,2.0,168240.0,1075.0,SCHAUMBURG,1.0
3.0,2.0,0.0,1.0,320000,4.0,2.0,156740.0,1075.0,SCHAUMBURG,1.0
,,,,217000,,,102520.0,,SCHAUMBURG,
,,,,160000,,,85230.0,,SCHAUMBURG,
3.0,2.0,0.0,3.0,310000,2.0,3.0,228250.0,1826.0,SCHAUMBURG,2.0
1.0,2.0,0.0,3.0,309000,2.0,3.0,274680.0,1997.0,SCHAUMBURG,1.0
,1.0,,,168000,,,110680.0,,SCHAUMBURG,
,1.0,,,168000,,,102960.0,,SCHAUMBURG,
,1.0,,,78000,,,40660.0,,SCHAUMBURG,
,1.0,,,103000,,,80100.0,,SCHAUMBURG,
,1.0,,,175000,,,115990.0,,SCHAUMBURG,
,1.0,,,140500,,,100440.0,,SCHAUMBURG,
,1.0,,,140500,,,96810.0,,SCHAUMBURG,
,1.0,,,297000,,,219290.0,,SCHAUMBURG,
1.0,2.0,0.0,3.0,300000,2.0,3.0,332180.0,2430.0,SCHAUMBURG,1.0
,1.0,,,151500,,,66570.0,,SCHAUMBURG,
,1.0,,,151500,,,70070.0,,SCHAUMBURG,
,1.0,,,151500,,,70070.0,,SCHAUMBURG,
,1.0,,,165000,,,97900.0,,SCHAUMBURG,
,1.0,,,140000,,,95580.0,,SCHAUMBURG,
,,,,150000,,,104710.0,,SCHAUMBURG,
,1.0,,,144500,,,39810.0,,SCHAUMBURG,
,1.0,,,144500,,,39810.0,,SCHAUMBURG,
3.0,1.0,0.0,1.0,275000,4.0,3.0,304980.0,1266.0,SCHAUMBURG,1.0
2.0,1.0,0.0,3.0,252000,1.0,3.0,168330.0,1421.0,SCHAUMBURG,1.0
,1.0,,,165000,,,69330.0,,SCHAUMBURG,
