Basement,Sale_Price,Estimate_Building,Building Square Feet,Fireplaces,Building_Square_Feet,Attic_Type,Basement_Finish,Type_of_Residence,Bathrooms
full,210000,131340.0,1767.0,0,Medium,None,Unfinished,one_story,2
full,153900,125250.0,1250.0,1+,Small-Medium,None,Unfinished,one_story,1
not_full,286000,149930.0,2155.0,1+,Medium-Large,None,Unfinished,one_story,1
full,310000,154660.0,2021.0,0,Medium-Large,None,Unfinished,one_story,2
full,337500,177520.0,1646.0,1+,Medium,None,Unfinished,one_story,2
full,335000,297350.0,1873.0,1+,Medium-Large,None,Unfinished,one_story,2
full,253900,235660.0,1452.0,1+,Medium,None,Unfinished,one_story,2
full,292000,242750.0,1657.0,1+,Medium,None,Unfinished,one_story,2
full,292000,242750.0,1657.0,1+,Medium,None,Unfinished,one_story,2
not_full,340000,270740.0,2273.0,0,Large,None,Formal rec room,one_story,2
not_full,340000,253670.0,2273.0,0,Large,None,Formal rec room,one_story,2
full,310000,274430.0,1997.0,1+,Medium-Large,None,Unfinished,one_story,2
full,310000,274430.0,1997.0,1+,Medium-Large,None,Unfinished,one_story,2
full,313000,274430.0,1997.0,1+,Medium-Large,None,Unfinished,one_story,2
full,313000,274430.0,1997.0,1+,Medium-Large,None,Unfinished,one_story,2
not_full,280000,258400.0,1139.0,1+,Small,None,Formal rec room,over_one_story,1
full,280000,282550.0,2312.0,1+,Large,None,Unfinished,one_story,2
not_full,355000,276330.0,2293.0,1+,Large,None,Unfinished,one_story,2
not_full,300000,204080.0,1316.0,0,Small-Medium,None,Formal rec room,over_one_story,1
full,330000,245530.0,2443.0,1+,Large,Partial,Unfinished,one_story,2
full,245000,167990.0,1138.0,0,Small,None,Unfinished,one_story,1
full,122500,117890.0,1034.0,0,Small,None,Unfinished,one_story,1
full,274900,160280.0,1317.0,0,Small-Medium,None,Unfinished,one_story,1
not_full,290000,225110.0,1324.0,0,Small-Medium,Partial,Formal rec room,over_one_story,2
not_full,389000,215150.0,1075.0,0,Small,None,Formal rec room,over_one_story,1
not_full,389000,193510.0,1075.0,0,Small,None,Formal rec room,over_one_story,1
full,389000,280170.0,2323.0,1+,Large,None,Unfinished,one_story,2
full,327500,214710.0,1306.0,0,Small-Medium,None,Formal rec room,one_story,2
not_full,272500,223880.0,1319.0,1+,Small-Medium,None,Formal rec room,over_one_story,1
not_full,420000,342460.0,2487.0,1+,Large,None,Unfinished,one_story,2
full,180000,62300.0,1555.0,0,Medium,None,Unfinished,one_story,1
not_full,260000,194560.0,1084.0,1+,Small,Partial,Formal rec room,over_one_story,2
not_full,260000,151650.0,1258.0,0,Small-Medium,None,Unfinished,one_story,1
not_full,307900,189970.0,1144.0,1+,Small,Partial,Formal rec room,one_story,1
not_full,177510,133480.0,1422.0,0,Medium,None,Unfinished,one_story,1
full,172900,125360.0,1250.0,1+,Small-Medium,None,Unfinished,one_story,1
not_full,350000,264020.0,1888.0,0,Medium-Large,None,Unfinished,one_story,2
full,305000,274660.0,1997.0,1+,Medium-Large,None,Unfinished,one_story,2
full,195000,147540.0,988.0,0,Small,None,Unfinished,one_story,1
not_full,285000,123410.0,1831.0,1+,Medium-Large,None,Unfinished,one_story,1
not_full,349000,292250.0,2514.0,1+,Large,None,Unfinished,one_story,2
full,267450,169770.0,1188.0,0,Small,None,Unfinished,one_story,2
full,418000,335850.0,2678.0,1+,Large,None,Unfinished,one_story,2
not_full,370000,252370.0,1597.0,1+,Medium,None,Formal rec room,over_one_story,2
not_full,274900,212770.0,1130.0,1+,Small,None,Formal rec room,over_one_story,1
full,335000,293330.0,1997.0,1+,Medium-Large,None,Unfinished,one_story,2
full,318500,291620.0,1677.0,1+,Medium,None,Unfinished,one_story,2
full,327900,207130.0,1798.0,1+,Medium-Large,None,Unfinished,one_story,2
not_full,360000,273560.0,2154.0,1+,Medium-Large,None,Unfinished,one_story,2
full,290100,152930.0,962.0,1+,Small,None,Formal rec room,one_story,1
full,290100,192640.0,962.0,1+,Small,None,Formal rec room,one_story,1
full,290100,194320.0,962.0,1+,Small,None,Formal rec room,one_story,1
full,265000,229320.0,1712.0,1+,Medium,None,Unfinished,one_story,2
full,327899,175640.0,1646.0,1+,Medium,None,Unfinished,one_story,2
not_full,280000,160970.0,1005.0,1+,Small,None,Formal rec room,one_story,1
not_full,520000,380870.0,3286.0,1+,Large,None,Formal rec room,one_story,2
not_full,270000,175000.0,976.0,0,Small,None,Formal rec room,one_story,1
not_full,278500,220830.0,1693.0,1+,Medium,None,Unfinished,one_story,2
full,359000,167850.0,1330.0,1+,Small-Medium,Full,Unfinished,one_story,2
not_full,252000,195900.0,1097.0,0,Small,Partial,Formal rec room,over_one_story,1
