Basement,Sale_Price,Estimate_Building,Building Square Feet,Fireplaces,Building_Square_Feet,Attic_Type,Basement_Finish,Type_of_Residence,Bathrooms
not_full,405000,343190.0,2214.0,1+,Medium-Large,None,Unfinished,one_story,2
full,128000,178660.0,1889.0,0,Medium-Large,None,Unfinished,one_story,3+
full,232000,110660.0,1745.0,1+,Medium,None,Unfinished,one_story,1
not_full,290000,190320.0,1082.0,1+,Small,None,Formal rec room,over_one_story,1
not_full,292500,165000.0,1100.0,1+,Small,None,Formal rec room,over_one_story,2
full,191000,153340.0,1480.0,1+,Medium,None,Unfinished,one_story,1
full,144166,79520.0,1315.0,1+,Small-Medium,None,Formal rec room,one_story,1
full,342500,187000.0,1475.0,0,Medium,None,Unfinished,one_story,2
full,342500,221010.0,1475.0,0,Medium,None,Unfinished,one_story,2
full,280000,193600.0,1386.0,1+,Small-Medium,None,Unfinished,one_story,1
full,243000,181050.0,1144.0,1+,Small,None,Unfinished,one_story,1
full,380000,197880.0,1186.0,1+,Small,None,Formal rec room,one_story,1
full,405000,58660.0,2712.0,1+,Large,Partial,Unfinished,one_story,3+
full,420000,277340.0,1720.0,1+,Medium,None,Unfinished,one_story,2
full,307000,186270.0,1712.0,1+,Medium,None,Unfinished,one_story,2
full,299000,247170.0,1708.0,1+,Medium,None,Unfinished,one_story,1
not_full,315000,246160.0,2022.0,1+,Medium-Large,None,Unfinished,one_story,2
full,149000,140160.0,1378.0,1+,Small-Medium,Full,Unfinished,one_story,1
not_full,273000,177630.0,960.0,0,Small,None,Formal rec room,one_story,1
full,360000,216140.0,2383.0,1+,Large,None,Unfinished,one_story,2
full,360000,263570.0,2383.0,1+,Large,None,Unfinished,one_story,2
not_full,375000,212010.0,1288.0,1+,Small-Medium,None,Formal rec room,over_one_story,2
not_full,282500,169110.0,1084.0,0,Small,None,Formal rec room,over_one_story,1
full,430000,272900.0,2636.0,1+,Large,None,Unfinished,one_story,2
full,400000,279790.0,2448.0,1+,Large,None,Unfinished,one_story,2
full,115000,128250.0,1250.0,0,Small-Medium,None,Unfinished,one_story,1
full,230000,174200.0,1140.0,0,Small,None,Unfinished,one_story,1
full,309900,245100.0,1708.0,1+,Medium,None,Unfinished,one_story,2
full,285000,194190.0,1210.0,0,Small-Medium,None,Unfinished,one_story,1
not_full,295000,213420.0,1268.0,1+,Small-Medium,None,Formal rec room,over_one_story,1
not_full,295000,213420.0,1268.0,1+,Small-Medium,None,Formal rec room,over_one_story,1
not_full,300000,213420.0,1268.0,1+,Small-Medium,None,Formal rec room,over_one_story,1
not_full,300000,213420.0,1268.0,1+,Small-Medium,None,Formal rec room,over_one_story,1
not_full,238000,174710.0,1697.0,1+,Medium,None,Unfinished,one_story,1
full,308000,160740.0,1140.0,0,Small,None,Unfinished,one_story,1
full,308000,200410.0,1140.0,0,Small,None,Unfinished,one_story,1
not_full,290000,202550.0,1607.0,0,Medium,None,Unfinished,one_story,2
not_full,168000,124630.0,1371.0,0,Small-Medium,Full,Unfinished,over_one_story,1
full,301000,178070.0,1417.0,1+,Medium,None,Unfinished,one_story,1
not_full,285500,208830.0,1268.0,0,Small-Medium,Partial,Formal rec room,over_one_story,2
full,201030,167670.0,1268.0,1+,Small-Medium,None,Unfinished,one_story,1
not_full,400000,208510.0,1471.0,1+,Medium,None,Formal rec room,over_one_story,1
not_full,400000,208510.0,1471.0,1+,Medium,None,Formal rec room,over_one_story,1
not_full,400000,236540.0,1471.0,1+,Medium,None,Formal rec room,over_one_story,1
not_full,335000,302520.0,1618.0,1+,Medium,None,Formal rec room,over_one_story,3+
not_full,174000,158430.0,1202.0,0,Small-Medium,None,Unfinished,one_story,1
full,387500,408790.0,3056.0,1+,Large,None,Unfinished,one_story,2
full,367000,238770.0,2274.0,1+,Large,None,Unfinished,one_story,2
full,220000,168400.0,1142.0,1+,Small,None,Unfinished,one_story,2
full,220000,168400.0,1142.0,1+,Small,None,Unfinished,one_story,2
full,223000,168400.0,1142.0,1+,Small,None,Unfinished,one_story,2
full,223000,168400.0,1142.0,1+,Small,None,Unfinished,one_story,2
full,280000,204650.0,1184.0,1+,Small,None,Formal rec room,one_story,1
not_full,352500,304190.0,1918.0,1+,Medium-Large,None,Unfinished,one_story,2
full,268000,214830.0,1714.0,1+,Medium,None,Unfinished,one_story,2
full,217700,133360.0,1686.0,1+,Medium,None,Unfinished,over_one_story,1
full,257500,155930.0,1120.0,1+,Small,Partial,Unfinished,one_story,1
full,257500,169260.0,1120.0,1+,Small,Partial,Unfinished,one_story,1
full,339900,178100.0,988.0,0,Small,None,Unfinished,one_story,1
full,252500,216750.0,1141.0,0,Small,None,Unfinished,one_story,1
not_full,485000,332090.0,2886.0,1+,Large,Partial,Unfinished,one_story,2
not_full,485000,332090.0,2886.0,1+,Large,Partial,Unfinished,one_story,2
not_full,432500,256900.0,1896.0,1+,Medium-Large,None,Unfinished,one_story,1
not_full,266500,212780.0,1150.0,1+,Small,None,Formal rec room,over_one_story,1
not_full,207000,185530.0,1274.0,0,Small-Medium,None,Formal rec room,one_story,1
not_full,207000,185530.0,1274.0,0,Small-Medium,None,Formal rec room,one_story,1
not_full,344950,185530.0,1274.0,1+,Small-Medium,None,Formal rec room,one_story,1
not_full,344950,185530.0,1274.0,1+,Small-Medium,None,Formal rec room,one_story,1
full,320000,350610.0,2351.0,1+,Large,None,Unfinished,one_story,2
full,285000,218410.0,1784.0,0,Medium-Large,None,Unfinished,one_story,2
full,350000,318570.0,2323.0,1+,Large,None,Unfinished,one_story,2
not_full,405000,241660.0,2048.0,1+,Medium-Large,None,Unfinished,one_story,2
full,212500,156750.0,1525.0,1+,Medium,None,Unfinished,one_story,2
full,350000,116660.0,1960.0,1+,Medium-Large,None,Unfinished,one_story,2
full,350000,91140.0,1960.0,1+,Medium-Large,None,Unfinished,one_story,2
full,350000,116660.0,1960.0,1+,Medium-Large,None,Unfinished,one_story,2
full,425000,116660.0,1960.0,1+,Medium-Large,None,Unfinished,one_story,2
full,425000,91140.0,1960.0,1+,Medium-Large,None,Unfinished,one_story,2
full,425000,116660.0,1960.0,1+,Medium-Large,None,Unfinished,one_story,2
not_full,265000,203410.0,1103.0,0,Small,None,Formal rec room,over_one_story,1
full,272500,271260.0,2076.0,1+,Medium-Large,None,Unfinished,one_story,3+
not_full,176500,119730.0,1202.0,0,Small-Medium,None,Unfinished,one_story,1
not_full,176500,145880.0,1202.0,0,Small-Medium,None,Unfinished,one_story,1
not_full,462000,241220.0,2280.0,1+,Large,None,Formal rec room,one_story,3+
full,305000,161980.0,1518.0,1+,Medium,None,Unfinished,one_story,2
full,305000,161980.0,1518.0,1+,Medium,None,Unfinished,one_story,2
full,305000,161980.0,1518.0,1+,Medium,None,Unfinished,one_story,2
not_full,173000,135590.0,1300.0,0,Small-Medium,None,Formal rec room,one_story,1
full,290000,302610.0,2678.0,1+,Large,None,Unfinished,one_story,2
full,385100,273990.0,2681.0,0,Large,None,Unfinished,one_story,2
not_full,340000,268750.0,1686.0,0,Medium,None,Unfinished,one_story,2
not_full,340000,192550.0,1686.0,0,Medium,None,Unfinished,one_story,2
not_full,306000,178650.0,1126.0,0,Small,None,Formal rec room,over_one_story,1
not_full,306000,203310.0,1126.0,0,Small,None,Formal rec room,over_one_story,1
not_full,306000,203310.0,1126.0,0,Small,None,Formal rec room,over_one_story,1
full,260000,173500.0,1359.0,1+,Small-Medium,Full,Unfinished,one_story,1
full,260000,199290.0,1359.0,1+,Small-Medium,Full,Unfinished,one_story,1
not_full,300000,177270.0,965.0,0,Small,None,Formal rec room,one_story,1
full,360000,260340.0,2383.0,0,Large,None,Unfinished,one_story,1
not_full,340000,206820.0,1200.0,1+,Small-Medium,None,Formal rec room,one_story,2
not_full,340000,229590.0,1200.0,1+,Small-Medium,None,Formal rec room,one_story,2
full,98500,102820.0,1027.0,0,Small,None,Unfinished,one_story,1
full,98500,102820.0,1027.0,0,Small,None,Unfinished,one_story,1
full,149900,102820.0,1027.0,1+,Small,None,Unfinished,one_story,1
full,149900,102820.0,1027.0,1+,Small,None,Unfinished,one_story,1
full,188000,118130.0,962.0,0,Small,None,Unfinished,one_story,1
full,220500,107090.0,1525.0,1+,Medium,None,Unfinished,one_story,2
not_full,415000,253050.0,1994.0,0,Medium-Large,None,Formal rec room,one_story,2
not_full,415000,234030.0,1994.0,0,Medium-Large,None,Formal rec room,one_story,2
not_full,289000,88570.0,1913.0,0,Medium-Large,None,Unfinished,one_story,2
full,330000,241540.0,2307.0,1+,Large,None,Unfinished,one_story,2
full,355000,292160.0,2248.0,1+,Medium-Large,None,Unfinished,one_story,2
full,329900,212130.0,1546.0,1+,Medium,None,Unfinished,one_story,2
full,270000,202330.0,1391.0,1+,Small-Medium,None,Unfinished,one_story,2
not_full,340000,254990.0,1872.0,1+,Medium-Large,Partial,Formal rec room,over_one_story,1
not_full,412500,310940.0,2317.0,1+,Large,None,Formal rec room,one_story,2
not_full,296000,264910.0,2567.0,1+,Large,None,Unfinished,one_story,2
full,276000,176890.0,1210.0,1+,Small-Medium,None,Unfinished,one_story,1
full,215000,161890.0,1889.0,1+,Medium-Large,None,Unfinished,one_story,3+
full,215000,177090.0,1889.0,1+,Medium-Large,None,Unfinished,one_story,3+
full,220000,199780.0,1454.0,1+,Medium,None,Unfinished,one_story,2
full,315000,259550.0,1954.0,1+,Medium-Large,None,Unfinished,one_story,2
full,257500,197870.0,1292.0,1+,Small-Medium,None,Unfinished,one_story,2
not_full,295000,218560.0,1268.0,1+,Small-Medium,Partial,Formal rec room,over_one_story,1
not_full,295000,216840.0,1268.0,1+,Small-Medium,Partial,Formal rec room,over_one_story,1
full,136500,128250.0,1250.0,0,Small-Medium,None,Unfinished,one_story,1
full,525000,278280.0,2424.0,1+,Large,None,Unfinished,one_story,2
not_full,315000,207700.0,1075.0,0,Small,None,Formal rec room,over_one_story,2
full,306000,278500.0,1997.0,1+,Medium-Large,None,Unfinished,one_story,2
not_full,161000,140050.0,1103.0,1+,Small,None,Unfinished,one_story,1
full,285000,204280.0,1452.0,1+,Medium,None,Unfinished,one_story,2
not_full,269000,218530.0,1120.0,0,Small,None,Formal rec room,over_one_story,1
not_full,275000,199040.0,1186.0,0,Small,None,Unfinished,one_story,2
full,328000,218790.0,1980.0,1+,Medium-Large,None,Unfinished,one_story,2
full,328000,265790.0,1980.0,1+,Medium-Large,None,Unfinished,one_story,2
full,355000,254970.0,2420.0,0,Large,None,Unfinished,one_story,2
full,355000,254970.0,2420.0,0,Large,None,Unfinished,one_story,2
not_full,397500,313560.0,1840.0,1+,Medium-Large,None,Unfinished,one_story,2
not_full,397500,240090.0,1840.0,1+,Medium-Large,None,Unfinished,one_story,2
not_full,355000,189500.0,1747.0,1+,Medium,None,Unfinished,one_story,2
not_full,444000,281730.0,2351.0,1+,Large,None,Unfinished,one_story,2
not_full,290000,190330.0,1573.0,1+,Medium,None,Unfinished,one_story,2
full,138500,175790.0,1160.0,0,Small,None,Unfinished,one_story,1
full,380000,330080.0,2351.0,0,Large,None,Unfinished,one_story,2
full,285000,236080.0,1792.0,1+,Medium-Large,None,Unfinished,one_story,1
full,185000,131510.0,1686.0,1+,Medium,None,Unfinished,over_one_story,1
full,185000,117240.0,1686.0,1+,Medium,None,Unfinished,over_one_story,1
full,245000,234040.0,1141.0,0,Small,None,Unfinished,one_story,1
not_full,306000,200310.0,1097.0,1+,Small,None,Formal rec room,over_one_story,1
not_full,344500,158890.0,1075.0,1+,Small,Partial,Formal rec room,over_one_story,1
not_full,344500,181460.0,1075.0,1+,Small,Partial,Formal rec room,over_one_story,1
full,392000,272470.0,2593.0,1+,Large,None,Unfinished,one_story,2
not_full,180000,212560.0,1268.0,1+,Small-Medium,None,Formal rec room,one_story,1
full,352500,317320.0,2016.0,0,Medium-Large,None,Unfinished,over_one_story,1
full,300000,45080.0,1431.0,1+,Medium,None,Unfinished,one_story,1
not_full,260000,188810.0,1100.0,0,Small,None,Formal rec room,over_one_story,1
full,365000,237570.0,1429.0,1+,Medium,None,Formal rec room,one_story,2
full,187000,175080.0,1678.0,0,Medium,None,Unfinished,one_story,2
not_full,260000,222830.0,1549.0,1+,Medium,None,Formal rec room,over_one_story,1
full,371500,286950.0,2294.0,1+,Large,None,Unfinished,one_story,2
full,281000,171660.0,1816.0,1+,Medium-Large,None,Unfinished,one_story,2
full,281000,149540.0,1816.0,1+,Medium-Large,None,Unfinished,one_story,2
full,214000,172430.0,1140.0,0,Small,Full,Unfinished,one_story,1
full,317000,220980.0,1985.0,1+,Medium-Large,None,Unfinished,one_story,1
not_full,322500,238240.0,1163.0,1+,Small,None,Formal rec room,over_one_story,1
full,332000,352580.0,3019.0,1+,Large,None,Unfinished,one_story,2
full,313000,236770.0,1786.0,1+,Medium-Large,None,Unfinished,one_story,2
full,313000,234480.0,1786.0,1+,Medium-Large,None,Unfinished,one_story,2
not_full,290000,29380.0,1071.0,1+,Small,None,Unfinished,one_story,1
not_full,290000,29380.0,1071.0,1+,Small,None,Unfinished,one_story,1
full,295000,229300.0,1939.0,1+,Medium-Large,Full,Unfinished,over_one_story,2
full,369000,233520.0,2634.0,0,Large,Full,Unfinished,over_one_story,3+
full,369000,193510.0,2634.0,0,Large,Full,Unfinished,over_one_story,3+
not_full,269900,235520.0,1994.0,1+,Medium-Large,Partial,Formal rec room,one_story,2
not_full,269900,257680.0,1994.0,1+,Medium-Large,Partial,Formal rec room,one_story,2
not_full,330000,257400.0,1980.0,1+,Medium-Large,None,Formal rec room,one_story,2
full,298000,182900.0,1239.0,0,Small-Medium,Full,Unfinished,one_story,1
full,385000,321460.0,2690.0,1+,Large,None,Unfinished,one_story,2
full,343000,234550.0,1880.0,1+,Medium-Large,None,Unfinished,one_story,2
full,354000,230070.0,1922.0,1+,Medium-Large,None,Unfinished,one_story,2
full,192500,139680.0,962.0,0,Small,Partial,Unfinished,one_story,1
full,192500,169070.0,962.0,0,Small,Partial,Unfinished,one_story,1
full,407500,298740.0,2298.0,1+,Large,None,Unfinished,one_story,1
not_full,333000,252270.0,1290.0,1+,Small-Medium,None,Unfinished,one_story,2
full,338000,312500.0,2218.0,1+,Medium-Large,None,Unfinished,one_story,2
full,265000,227710.0,1391.0,1+,Small-Medium,None,Unfinished,one_story,2
full,265000,195570.0,1391.0,1+,Small-Medium,None,Unfinished,one_story,2
not_full,305000,256040.0,1137.0,1+,Small,None,Formal rec room,over_one_story,1
not_full,414000,349960.0,2163.0,1+,Medium-Large,None,Unfinished,one_story,2
full,167000,123520.0,962.0,1+,Small,Full,Unfinished,one_story,1
not_full,312000,217230.0,2300.0,1+,Large,None,Unfinished,one_story,2
full,218000,168420.0,1142.0,1+,Small,None,Unfinished,one_story,2
full,152000,117080.0,1338.0,1+,Small-Medium,None,Unfinished,one_story,1
not_full,405000,296490.0,2266.0,1+,Medium-Large,None,Unfinished,one_story,2
full,142000,125250.0,1250.0,0,Small-Medium,None,Unfinished,one_story,1
not_full,280000,189220.0,1075.0,0,Small,Partial,Formal rec room,over_one_story,1
not_full,375000,272380.0,2273.0,1+,Large,None,Formal rec room,one_story,2
full,102000,125250.0,1250.0,0,Small-Medium,None,Unfinished,one_story,1
full,102000,125250.0,1250.0,0,Small-Medium,None,Unfinished,one_story,1
full,168000,125250.0,1250.0,1+,Small-Medium,None,Unfinished,one_story,1
full,168000,125250.0,1250.0,1+,Small-Medium,None,Unfinished,one_story,1
not_full,320000,213620.0,1232.0,0,Small-Medium,None,Formal rec room,over_one_story,1
full,255000,177500.0,988.0,1+,Small,Partial,Formal rec room,one_story,1
full,195000,153380.0,1196.0,1+,Small-Medium,None,Unfinished,one_story,1
not_full,320000,249380.0,1549.0,0,Medium,None,Unfinished,over_one_story,2
full,312500,220360.0,2076.0,1+,Medium-Large,None,Unfinished,one_story,2
full,312500,220360.0,2076.0,1+,Medium-Large,None,Unfinished,one_story,2
full,275000,220360.0,2076.0,1+,Medium-Large,None,Unfinished,one_story,2
full,275000,220360.0,2076.0,1+,Medium-Large,None,Unfinished,one_story,2
not_full,495000,183150.0,2502.0,1+,Large,None,Formal rec room,over_one_story,2
full,275000,115630.0,1886.0,1+,Medium-Large,None,Unfinished,one_story,2
full,270000,189360.0,1386.0,1+,Small-Medium,None,Unfinished,one_story,1
full,223500,157440.0,1782.0,1+,Medium-Large,None,Unfinished,one_story,1
full,255000,223190.0,1886.0,1+,Medium-Large,None,Unfinished,one_story,2
not_full,312000,314260.0,2380.0,1+,Large,None,Unfinished,one_story,2
not_full,312000,314260.0,2380.0,1+,Large,None,Unfinished,one_story,2
full,182400,153590.0,1480.0,1+,Medium,None,Unfinished,one_story,1
full,239000,172680.0,1278.0,1+,Small-Medium,None,Unfinished,one_story,2
not_full,355000,175490.0,1167.0,1+,Small,Partial,Formal rec room,one_story,1
not_full,355000,147980.0,1167.0,1+,Small,Partial,Formal rec room,one_story,1
full,358000,240420.0,1942.0,1+,Medium-Large,None,Unfinished,one_story,1
not_full,200000,174590.0,1422.0,1+,Medium,None,Unfinished,one_story,1
full,340000,295980.0,2448.0,1+,Large,None,Unfinished,one_story,2
full,340000,215910.0,2448.0,1+,Large,None,Unfinished,one_story,2
full,340000,259490.0,2448.0,1+,Large,None,Unfinished,one_story,2
not_full,222500,200740.0,1075.0,0,Small,None,Formal rec room,over_one_story,2
not_full,297500,254450.0,2280.0,1+,Large,None,Formal rec room,one_story,2
full,235000,184970.0,984.0,0,Small,None,Formal rec room,one_story,1
not_full,401527,380840.0,3012.0,1+,Large,Full,Unfinished,one_story,1
not_full,401527,341680.0,3012.0,1+,Large,Full,Unfinished,one_story,1
full,178000,154550.0,1176.0,0,Small,None,Unfinished,one_story,2
full,275000,29620.0,1375.0,1+,Small-Medium,None,Unfinished,one_story,1
full,300000,281850.0,2468.0,1+,Large,Partial,Unfinished,one_story,2
not_full,300000,134650.0,1144.0,1+,Small,None,Formal rec room,one_story,1
not_full,285000,188680.0,1103.0,0,Small,None,Formal rec room,over_one_story,1
not_full,290000,172000.0,1100.0,0,Small,None,Formal rec room,over_one_story,1
not_full,266000,203410.0,1050.0,0,Small,None,Formal rec room,over_one_story,1
full,229000,148990.0,962.0,1+,Small,None,Unfinished,one_story,1
full,350000,229020.0,1827.0,1+,Medium-Large,None,Unfinished,one_story,2
full,348000,315110.0,2148.0,1+,Medium-Large,None,Unfinished,over_one_story,2
full,275000,259590.0,2332.0,0,Large,None,Unfinished,one_story,3+
not_full,306000,215450.0,1294.0,1+,Small-Medium,None,Formal rec room,over_one_story,1
not_full,306000,201810.0,1294.0,1+,Small-Medium,None,Formal rec room,over_one_story,1
full,175500,139040.0,1360.0,1+,Small-Medium,None,Formal rec room,one_story,1
not_full,410000,319660.0,2493.0,1+,Large,None,Unfinished,one_story,2
not_full,375000,278070.0,2015.0,1+,Medium-Large,None,Unfinished,one_story,2
full,258000,193860.0,1488.0,1+,Medium,None,Unfinished,one_story,2
full,258000,216270.0,1488.0,1+,Medium,None,Unfinished,one_story,2
not_full,330000,274180.0,1763.0,1+,Medium,None,Unfinished,one_story,2
not_full,286900,198060.0,1268.0,1+,Small-Medium,None,Formal rec room,over_one_story,1
not_full,317000,87880.0,1403.0,1+,Small-Medium,None,Formal rec room,over_one_story,1
not_full,317000,87880.0,1403.0,1+,Small-Medium,None,Formal rec room,over_one_story,1
not_full,355000,87880.0,1403.0,1+,Small-Medium,None,Formal rec room,over_one_story,1
not_full,355000,87880.0,1403.0,1+,Small-Medium,None,Formal rec room,over_one_story,1
full,217500,160180.0,1324.0,0,Small-Medium,None,Formal rec room,one_story,1
not_full,350000,236930.0,1548.0,1+,Medium,None,Unfinished,one_story,2
full,315000,150980.0,1120.0,0,Small,None,Unfinished,one_story,1
full,350000,267990.0,2409.0,1+,Large,None,Unfinished,one_story,2
full,414000,199490.0,1262.0,1+,Small-Medium,None,Unfinished,one_story,1
full,414000,137410.0,1262.0,1+,Small-Medium,None,Unfinished,one_story,1
full,172000,128660.0,1250.0,1+,Small-Medium,None,Unfinished,one_story,2
not_full,280000,176110.0,1126.0,0,Small,None,Formal rec room,over_one_story,1
full,281100,270180.0,2409.0,1+,Large,None,Unfinished,one_story,2
full,315500,178510.0,1591.0,1+,Medium,None,Unfinished,one_story,2
full,336500,254540.0,2378.0,0,Large,None,Unfinished,one_story,2
full,435000,289920.0,2638.0,1+,Large,None,Unfinished,one_story,2
full,274000,213110.0,1565.0,0,Medium,None,Unfinished,one_story,1
full,147000,115370.0,1350.0,0,Small-Medium,None,Unfinished,one_story,1
full,167000,126960.0,1525.0,1+,Medium,None,Unfinished,one_story,2
not_full,297500,188670.0,1165.0,0,Small,None,Formal rec room,one_story,1
not_full,297500,171230.0,1165.0,0,Small,None,Formal rec room,one_story,1
not_full,275000,153340.0,1186.0,1+,Small,None,Formal rec room,one_story,2
full,202000,208750.0,1456.0,1+,Medium,None,Unfinished,one_story,1
full,385000,266450.0,2323.0,1+,Large,None,Unfinished,one_story,2
full,157000,142290.0,1412.0,1+,Small-Medium,None,Unfinished,one_story,1
full,293500,205540.0,1557.0,0,Medium,None,Unfinished,one_story,2
not_full,264900,171390.0,976.0,1+,Small,None,Formal rec room,one_story,1
not_full,223500,189840.0,1260.0,0,Small-Medium,Partial,Unfinished,one_story,1
not_full,378000,297980.0,2399.0,1+,Large,None,Unfinished,one_story,2
not_full,300000,261430.0,1302.0,0,Small-Medium,None,Formal rec room,over_one_story,1
not_full,300000,261430.0,1302.0,0,Small-Medium,None,Formal rec room,over_one_story,1
full,270000,222160.0,1784.0,1+,Medium-Large,None,Unfinished,one_story,2
full,356500,377520.0,2016.0,0,Medium-Large,None,Unfinished,over_one_story,1
full,391500,318040.0,2712.0,1+,Large,Partial,Unfinished,one_story,3+
full,382000,297400.0,1873.0,0,Medium-Large,None,Unfinished,one_story,2
full,470000,390040.0,3157.0,1+,Large,None,Unfinished,one_story,3+
not_full,295000,230990.0,1536.0,1+,Medium,None,Formal rec room,one_story,1
not_full,295000,230990.0,1536.0,1+,Medium,None,Formal rec room,one_story,1
not_full,399900,266510.0,2280.0,1+,Large,None,Unfinished,one_story,2
not_full,399900,312960.0,2280.0,1+,Large,None,Unfinished,one_story,2
full,296000,224520.0,1990.0,1+,Medium-Large,None,Unfinished,one_story,2
full,296000,197400.0,1990.0,1+,Medium-Large,None,Unfinished,one_story,2
full,344000,265850.0,2250.0,1+,Medium-Large,None,Unfinished,one_story,2
full,370000,69110.0,1503.0,1+,Medium,None,Unfinished,one_story,2
full,326995,157420.0,1188.0,0,Small,None,Unfinished,one_story,1
full,326995,218600.0,1188.0,0,Small,None,Unfinished,one_story,1
full,326995,218600.0,1188.0,0,Small,None,Unfinished,one_story,1
full,326995,182070.0,1188.0,0,Small,None,Unfinished,one_story,1
full,370000,266640.0,2245.0,0,Medium-Large,None,Unfinished,one_story,2
not_full,435000,261640.0,2396.0,1+,Large,None,Formal rec room,one_story,2
not_full,190000,121790.0,1320.0,1+,Small-Medium,None,Formal rec room,one_story,1
full,319900,259530.0,2420.0,1+,Large,None,Unfinished,one_story,2
full,390000,295000.0,2332.0,1+,Large,None,Unfinished,one_story,2
not_full,350000,220670.0,1724.0,1+,Medium,None,Formal rec room,one_story,2
full,249000,235340.0,1851.0,1+,Medium-Large,None,Unfinished,one_story,2
full,305000,314770.0,2260.0,1+,Medium-Large,Full,Unfinished,one_story,2
full,305000,255780.0,2260.0,1+,Medium-Large,Full,Unfinished,one_story,2
full,305000,238200.0,2260.0,1+,Medium-Large,Full,Unfinished,one_story,2
not_full,415000,276020.0,1911.0,1+,Medium-Large,None,Unfinished,one_story,1
full,419000,374360.0,2674.0,1+,Large,None,Unfinished,one_story,2
not_full,290000,203740.0,1253.0,0,Small-Medium,None,Formal rec room,over_one_story,1
not_full,290000,227720.0,1253.0,0,Small-Medium,None,Formal rec room,over_one_story,1
full,281500,217970.0,1165.0,1+,Small,None,Formal rec room,one_story,1
full,235000,130870.0,1052.0,0,Small,Full,Unfinished,one_story,1
full,235000,147840.0,1052.0,0,Small,Full,Unfinished,one_story,1
not_full,174900,171030.0,1422.0,1+,Medium,None,Unfinished,one_story,1
full,280000,261500.0,2748.0,1+,Large,None,Unfinished,one_story,2
full,280000,253710.0,2748.0,1+,Large,None,Unfinished,one_story,2
full,94000,191730.0,1539.0,1+,Medium,Partial,Unfinished,one_story,1
full,177000,143700.0,1338.0,0,Small-Medium,None,Unfinished,one_story,1
full,239500,172420.0,1210.0,0,Small-Medium,None,Unfinished,one_story,1
full,225000,152000.0,988.0,0,Small,None,Unfinished,one_story,1
full,225000,142560.0,988.0,0,Small,None,Unfinished,one_story,1
not_full,255000,235700.0,1150.0,1+,Small,None,Formal rec room,over_one_story,1
full,277500,176220.0,1767.0,0,Medium,None,Unfinished,one_story,2
full,277500,176220.0,1767.0,0,Medium,None,Unfinished,one_story,2
full,390000,270220.0,2224.0,1+,Medium-Large,None,Unfinished,one_story,2
full,368000,298350.0,2295.0,0,Large,None,Unfinished,one_story,2
full,158000,112960.0,1240.0,1+,Small-Medium,None,Unfinished,one_story,1
not_full,185000,135590.0,1300.0,1+,Small-Medium,None,Formal rec room,one_story,1
full,240000,183700.0,1141.0,0,Small,None,Unfinished,one_story,1
full,430000,258200.0,2371.0,1+,Large,None,Unfinished,one_story,2
not_full,260000,205320.0,1075.0,0,Small,Partial,Formal rec room,over_one_story,1
not_full,260000,161250.0,1075.0,0,Small,Partial,Formal rec room,over_one_story,1
not_full,420000,239590.0,1900.0,0,Medium-Large,None,Unfinished,one_story,2
full,326000,323250.0,2212.0,1+,Medium-Large,None,Unfinished,one_story,2
not_full,327000,253290.0,1413.0,1+,Small-Medium,None,Formal rec room,one_story,2
not_full,327000,198000.0,1413.0,1+,Small-Medium,None,Formal rec room,one_story,2
not_full,289000,73160.0,938.0,0,Small,None,Formal rec room,over_one_story,1
not_full,289000,91910.0,938.0,0,Small,None,Formal rec room,over_one_story,1
not_full,278000,173380.0,1131.0,1+,Small,None,Formal rec room,over_one_story,1
full,282500,224420.0,1582.0,0,Medium,None,Unfinished,one_story,2
not_full,390000,295620.0,2016.0,1+,Medium-Large,None,Unfinished,one_story,2
full,260000,170950.0,1140.0,0,Small,None,Unfinished,one_story,1
not_full,196000,136070.0,1300.0,1+,Small-Medium,Partial,Formal rec room,one_story,1
not_full,196000,111490.0,1300.0,1+,Small-Medium,Partial,Formal rec room,one_story,1
not_full,196000,111490.0,1300.0,1+,Small-Medium,Partial,Formal rec room,one_story,1
full,310000,218810.0,1372.0,1+,Small-Medium,None,Unfinished,one_story,2
full,362500,220680.0,2378.0,1+,Large,None,Unfinished,one_story,2
full,362500,293300.0,2378.0,1+,Large,None,Unfinished,one_story,2
not_full,385000,256930.0,2044.0,0,Medium-Large,None,Unfinished,one_story,2
not_full,385000,271780.0,2044.0,0,Medium-Large,None,Unfinished,one_story,2
not_full,425000,248640.0,2368.0,1+,Large,None,Formal rec room,one_story,1
not_full,425000,257400.0,2368.0,1+,Large,None,Formal rec room,one_story,1
full,278000,211270.0,1588.0,1+,Medium,None,Unfinished,one_story,2
full,278000,178620.0,1588.0,1+,Medium,None,Unfinished,one_story,2
full,265000,188500.0,1320.0,0,Small-Medium,None,Unfinished,one_story,2
full,154000,113130.0,1250.0,0,Small-Medium,None,Unfinished,one_story,1
not_full,223000,238700.0,1499.0,1+,Medium,None,Formal rec room,over_one_story,2
full,259900,276250.0,2678.0,1+,Large,None,Unfinished,one_story,2
full,259900,276250.0,2678.0,1+,Large,None,Unfinished,one_story,2
full,259900,240530.0,2678.0,1+,Large,None,Unfinished,one_story,2
not_full,265000,214450.0,1319.0,0,Small-Medium,None,Formal rec room,over_one_story,2
not_full,265000,214450.0,1319.0,0,Small-Medium,None,Formal rec room,over_one_story,2
