property_city,Estimate (Land),Estimate (Building),Type of Residence,Rooms,Bedrooms,Central Heating,Central Air,Fireplaces,Building Square Feet,Sale Price,Full Baths,Garage 1 Size,Age,Garage indicator,Tax Year,Basement,Basement Finish,Near Major Road,Construction Quality,Renovation,Repair Condition,Neighborhood Code,Roof Material,Other Heating,Attic Type,Attic Finish,Cathedral Ceiling,Site Desireability,Porch,Other Improvements,Large Lot
HOFFMAN ESTATES,63820,162310,1,6,3,1,1,0,1066,246000,1,3,56,1,2018,3,1,0,2,NA,2,170,1,5,3,NA,2,2,1,569,0
GLENVIEW,57720,194590,1,5,3,1,0,0,1018,449000,1,1,63,1,2018,4,3,0,2,NA,2,11,1,5,2,3,2,2,3,0,0
GLENVIEW,46620,95290,1,5,3,1,0,0,1018,449000,1,1,63,1,2018,4,3,0,2,NA,2,11,1,5,2,3,2,2,3,0,0
GLENVIEW,107600,330320,4,8,4,1,1,1,1424,424000,1,3,46,1,2018,3,1,0,2,NA,2,400,1,5,3,NA,2,2,3,0,0
SCHAUMBURG,52270,52180,NA,NA,NA,NA,NA,NA,NA,165900,NA,NA,30,NA,2019,NA,NA,1,NA,NA,NA,101,NA,NA,NA,0,NA,NA,3,NA,NA
SCHAUMBURG,17790,105080,NA,NA,NA,NA,NA,NA,NA,175000,1,NA,20,NA,2018,NA,NA,1,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,3,NA,1
EVANSTON,28870,207530,1,6,3,1,0,0,1056,205000,1,3,66,1,2018,1,3,1,2,NA,2,220,1,5,2,1,0,2,3,0,0
EVANSTON,28870,207530,1,6,3,1,0,0,1056,205000,1,3,66,1,2018,1,3,1,2,NA,2,220,1,5,2,1,0,2,3,0,0
EVANSTON,28870,207530,1,6,3,1,0,1,1056,392500,1,3,69,1,2019,1,3,0,2,NA,2,220,1,5,2,1,0,2,3,0,NA
EVANSTON,28870,207530,1,6,3,1,0,1,1056,392500,1,3,69,1,2019,1,3,0,2,NA,2,220,1,5,2,1,0,2,3,0,NA
PALATINE,3580,225690,NA,NA,NA,NA,NA,NA,NA,265000,1,NA,6,NA,2018,NA,NA,1,NA,NA,NA,60,NA,NA,NA,NA,NA,NA,3,NA,0
PALATINE,4950,205130,NA,NA,NA,NA,NA,NA,NA,265000,1,NA,6,NA,2018,NA,NA,1,NA,NA,NA,60,NA,NA,NA,NA,NA,NA,3,NA,0
PALATINE,3300,158130,NA,NA,NA,NA,NA,NA,NA,265000,1,NA,6,NA,2018,NA,NA,1,NA,NA,NA,60,NA,NA,NA,NA,NA,NA,3,NA,0
ARLINGTON HEIGHTS,10760,244820,1,6,3,1,1,1,1228,259000,2,3,22,1,2019,3,1,0,2,NA,2,40,1,5,3,0,1,2,3,0,NA
ARLINGTON HEIGHTS,9290,204480,1,6,3,1,1,1,1228,259000,2,3,22,1,2019,3,1,0,2,NA,2,40,1,5,3,0,1,2,3,0,NA
DES PLAINES,38720,140140,4,5,3,1,1,1,1100,246000,1,3,60,1,2019,3,1,0,2,NA,2,40,1,5,3,0,0,2,3,0,NA
SCHAUMBURG,42470,207590,4,6,3,1,1,1,1304,235000,1,3,53,1,2018,3,1,0,2,NA,2,40,1,5,3,NA,2,2,3,0,0
SCHAUMBURG,42470,207590,4,6,3,1,1,1,1304,235000,1,3,53,1,2018,3,1,0,2,NA,2,40,1,5,3,NA,2,2,3,0,0
PALATINE,1380,64410,NA,NA,NA,NA,NA,NA,NA,111500,NA,NA,38,NA,2019,NA,NA,0,NA,NA,NA,70,NA,NA,NA,0,NA,NA,3,NA,NA
SKOKIE,42610,468560,2,9,6,1,1,2,3290,315000,3,3,50,1,2019,1,1,0,2,NA,2,81,1,5,3,0,2,2,3,0,NA
GLENVIEW,25350,140120,NA,NA,NA,NA,NA,NA,NA,210000,1,NA,37,NA,2018,NA,NA,1,NA,NA,NA,131,NA,NA,NA,NA,NA,NA,3,NA,0
HOFFMAN ESTATES,101140,390440,2,7,4,1,1,2,3294,466000,2,3,28,1,2019,1,3,0,2,NA,2,116,1,5,3,0,1,2,3,0,NA
HOFFMAN ESTATES,12860,156140,2,5,3,1,1,0,1383,169000,1,1,44,1,2018,2,3,0,2,NA,2,103,1,5,3,NA,0,2,3,0,0
SCHAUMBURG,59370,59280,NA,NA,NA,NA,NA,NA,NA,170000,NA,NA,30,NA,2019,NA,NA,1,NA,NA,NA,101,NA,NA,NA,0,NA,NA,3,NA,NA
SKOKIE,43890,202810,5,7,3,1,1,1,1836,317500,1,0,66,0,2019,3,1,0,2,NA,2,81,1,5,2,1,2,2,3,0,NA
GLENVIEW,186900,551220,1,7,4,1,1,2,2050,710000,3,3,65,1,2018,1,1,1,2,NA,2,180,1,5,3,NA,0,2,3,0,0
SCHAUMBURG,59580,99490,NA,NA,NA,NA,NA,NA,NA,225000,NA,NA,43,NA,2019,NA,NA,0,NA,NA,NA,101,NA,NA,NA,0,NA,NA,3,NA,NA
SCHAUMBURG,61360,74700,NA,NA,NA,NA,NA,NA,NA,225000,NA,NA,43,NA,2019,NA,NA,0,NA,NA,NA,101,NA,NA,NA,0,NA,NA,3,NA,NA
NORTHBROOK,126540,500590,1,8,4,1,1,2,3117,787500,2,4,40,1,2018,3,1,0,1,NA,2,160,1,5,3,NA,0,2,3,0,0
MOUNT PROSPECT,55010,222020,1,5,3,1,1,1,1306,343500,1,3,54,1,2019,1,3,0,2,NA,2,10,1,5,3,0,2,2,3,0,NA
MOUNT PROSPECT,57510,212880,1,5,3,1,1,1,1306,343500,1,3,54,1,2019,1,3,0,2,NA,2,10,1,5,3,0,2,2,3,0,NA
NORTHBROOK,21550,116490,NA,NA,NA,NA,NA,NA,NA,339000,1,NA,31,NA,2018,NA,NA,0,NA,NA,NA,72,NA,NA,NA,NA,NA,NA,3,NA,0
NORTHBROOK,18060,194930,NA,NA,NA,NA,NA,NA,NA,339000,1,NA,31,NA,2018,NA,NA,0,NA,NA,NA,72,NA,NA,NA,NA,NA,NA,3,NA,0
NORTHBROOK,21550,116490,NA,NA,NA,NA,NA,NA,NA,339000,1,NA,31,NA,2018,NA,NA,0,NA,NA,NA,72,NA,NA,NA,NA,NA,NA,3,NA,0
NORTHBROOK,21550,116490,NA,NA,NA,NA,NA,NA,NA,339000,1,NA,31,NA,2018,NA,NA,0,NA,NA,NA,72,NA,NA,NA,NA,NA,NA,3,NA,0
NORTHBROOK,210720,179970,1,6,4,1,0,1,1414,568458,2,0,93,0,2018,1,3,1,2,NA,2,132,1,5,3,NA,0,2,3,0,0
EVANSTON,75000,346810,1,7,3,2,1,1,1050,629500,2,1,94,1,2018,1,1,0,2,NA,2,13,1,5,1,3,2,2,1,0,0
PALATINE,29170,194260,NA,NA,NA,NA,NA,NA,NA,234700,NA,NA,19,NA,2019,NA,NA,1,NA,NA,NA,70,NA,NA,NA,0,NA,NA,3,NA,NA
DES PLAINES,4210,132060,NA,NA,NA,NA,NA,NA,NA,215000,1,NA,19,NA,2018,NA,NA,1,NA,NA,NA,180,NA,NA,NA,NA,NA,NA,3,NA,0
DES PLAINES,4840,129140,NA,NA,NA,NA,NA,NA,NA,215000,1,NA,19,NA,2018,NA,NA,1,NA,NA,NA,180,NA,NA,NA,NA,NA,NA,3,NA,0
DES PLAINES,39560,224830,4,7,4,1,1,1,1696,370000,2,3,52,1,2019,3,1,0,2,NA,2,93,1,5,3,0,0,2,3,54,NA
SKOKIE,8530,174690,2,5,3,1,1,0,1055,150000,1,0,58,0,2018,1,3,1,2,NA,2,31,1,5,3,NA,0,2,3,0,0
SCHAUMBURG,17760,223020,2,6,3,1,1,1,1488,252000,2,3,30,1,2018,2,3,0,2,NA,2,20,1,5,3,NA,2,2,3,0,0
SCHAUMBURG,20490,200760,2,6,3,1,1,1,1488,252000,2,3,30,1,2018,2,3,0,2,NA,2,20,1,5,3,NA,2,2,3,0,0
EVANSTON,52870,290210,5,6,3,1,1,2,1662,414900,1,3,116,1,2019,1,1,0,2,NA,1,112,1,5,1,1,2,2,3,0,NA
SKOKIE,35670,275900,2,10,6,1,0,0,2425,495000,2,0,61,0,2018,1,1,0,2,NA,2,31,1,5,3,NA,0,2,3,0,0
ARLINGTON HEIGHTS,1080,92490,NA,NA,NA,NA,NA,NA,NA,152500,1,NA,42,NA,2018,NA,NA,0,NA,NA,NA,40,NA,NA,NA,NA,NA,NA,3,NA,0
DES PLAINES,43350,244920,4,7,3,1,1,0,1251,255000,1,3,53,1,2018,3,1,1,2,NA,2,22,1,5,2,3,2,2,3,0,0
GLENVIEW,88440,362710,4,8,3,1,1,1,2086,556000,1,3,61,1,2018,3,1,0,2,NA,2,120,1,5,2,1,2,2,3,0,0
ARLINGTON HEIGHTS,48120,276300,4,8,3,1,1,1,1306,331000,1,3,47,1,2018,3,1,0,2,NA,2,40,1,5,3,NA,0,2,3,0,0
SKOKIE,54520,282480,4,6,3,1,1,1,1605,519000,2,3,52,1,2018,3,1,0,2,NA,2,52,1,5,3,NA,0,2,3,0,0
SKOKIE,47160,260580,4,6,3,1,1,1,1605,519000,2,3,52,1,2018,3,1,0,2,NA,2,52,1,5,3,NA,0,2,3,0,0
SCHAUMBURG,40050,192950,1,7,4,1,1,0,1548,246000,2,1,44,1,2018,2,3,0,2,NA,2,40,1,5,3,NA,2,2,3,0,0
SCHAUMBURG,35340,186190,1,7,4,1,1,0,1548,246000,2,1,44,1,2018,2,3,0,2,NA,2,40,1,5,3,NA,2,2,3,0,0
MOUNT PROSPECT,43170,425560,2,8,4,1,1,0,2096,456000,2,3,24,1,2018,1,3,1,2,NA,2,100,1,5,3,NA,2,2,3,0,0
NORTHBROOK,2420,190220,NA,NA,NA,NA,NA,NA,NA,212000,NA,NA,40,NA,2019,NA,NA,0,NA,NA,NA,10,NA,NA,NA,0,NA,NA,3,NA,NA
NORTHBROOK,2420,190220,NA,NA,NA,NA,NA,NA,NA,212000,NA,NA,40,NA,2019,NA,NA,0,NA,NA,NA,10,NA,NA,NA,0,NA,NA,3,NA,NA
ARLINGTON HEIGHTS,84150,371320,2,8,4,1,1,1,2641,467500,2,3,32,1,2018,1,3,1,2,NA,2,14,1,5,3,NA,0,2,3,0,0
HOFFMAN ESTATES,30110,238470,2,8,4,1,1,1,1714,283000,1,3,42,1,2019,2,3,0,2,NA,2,33,1,5,3,0,2,2,3,0,NA
PALATINE,11850,243120,2,5,2,1,1,2,1972,300000,2,3,23,1,2019,1,3,0,2,NA,2,84,1,5,2,1,0,1,3,0,NA
PALATINE,10770,252160,2,5,2,1,1,2,1972,300000,2,3,23,1,2019,1,3,0,2,NA,2,84,1,5,2,1,0,1,3,0,NA
DES PLAINES,26880,99910,1,4,2,1,0,0,889,145000,1,0,53,0,2018,2,3,0,2,NA,2,51,1,2,3,NA,2,2,3,0,0
HOFFMAN ESTATES,37900,176920,1,7,4,1,1,0,1732,210000,2,1,59,1,2018,4,3,0,2,NA,2,20,1,5,2,3,0,2,3,0,0
PALATINE,45360,222010,1,6,3,1,1,0,1397,270000,2,1,54,1,2018,3,3,0,2,NA,2,70,1,5,3,NA,0,2,3,0,0
NORTHBROOK,70020,223640,1,6,4,1,1,0,1594,430000,1,1,62,1,2018,3,3,0,2,NA,2,72,1,5,3,NA,2,2,3,0,0
NORTHBROOK,76200,261870,1,6,4,1,1,0,1594,430000,1,1,62,1,2018,3,3,0,2,NA,2,72,1,5,3,NA,2,2,3,0,0
GLENVIEW,84650,303850,1,6,4,1,1,2,1595,557900,2,3,59,1,2018,1,1,0,2,NA,2,120,1,5,3,NA,0,2,3,0,0
GLENVIEW,84650,303850,1,6,4,1,1,2,1595,557900,2,3,59,1,2018,1,1,0,2,NA,2,120,1,5,3,NA,0,2,3,0,0
GLENVIEW,69060,271830,1,6,4,1,1,2,1595,557900,2,3,59,1,2018,1,1,0,2,NA,2,120,1,5,3,NA,0,2,3,0,0
HOFFMAN ESTATES,37530,174320,1,5,3,1,0,1,1637,270000,2,1,59,1,2018,4,3,0,2,NA,2,20,1,5,3,NA,2,2,3,0,0
SKOKIE,39700,212870,1,6,3,1,0,0,1269,225000,1,1,62,1,2018,1,3,0,2,NA,2,31,1,5,1,3,0,2,3,0,0
DES PLAINES,37270,131140,1,5,2,1,1,1,864,180000,1,0,106,0,2019,1,3,0,2,NA,2,23,1,5,1,3,2,2,3,0,NA
EVANSTON,97530,793220,2,10,6,1,1,1,3647,1130000,3,5,113,1,2018,1,1,0,2,NA,2,43,1,5,2,1,2,2,1,0,0
GLENVIEW,130840,575750,2,9,4,1,1,1,3330,847500,2,4,22,1,2018,1,3,0,2,NA,2,400,1,5,3,NA,1,2,3,0,0
ARLINGTON HEIGHTS,12870,342930,2,6,3,1,1,1,1216,465000,2,3,12,1,2018,1,1,1,2,NA,2,72,1,5,3,NA,1,2,3,0,0
MOUNT PROSPECT,59620,292690,2,7,3,1,1,1,1918,390000,2,3,53,1,2019,3,1,0,2,NA,2,10,1,5,3,0,0,2,3,0,NA
EVANSTON,NA,NA,NA,NA,NA,NA,NA,NA,NA,592000,1,NA,10,NA,2018,NA,NA,0,NA,NA,NA,43,NA,NA,NA,NA,NA,NA,3,NA,0
PALATINE,6130,88880,NA,NA,NA,NA,NA,NA,NA,127450,NA,NA,89,NA,2019,NA,NA,0,NA,NA,NA,70,NA,NA,NA,0,NA,NA,3,NA,NA
PALATINE,6130,88880,NA,NA,NA,NA,NA,NA,NA,127450,NA,NA,89,NA,2019,NA,NA,0,NA,NA,NA,70,NA,NA,NA,0,NA,NA,3,NA,NA
ARLINGTON HEIGHTS,43560,235860,1,6,3,1,1,0,1325,381000,1,2,61,1,2018,1,3,0,2,NA,2,50,1,5,3,NA,0,2,3,0,0
NORTHBROOK,424790,405810,1,7,3,1,1,2,3618,767500,2,3,54,1,2019,3,3,0,2,NA,2,52,4,5,3,0,2,2,3,0,NA
MOUNT PROSPECT,6230,59340,NA,NA,NA,NA,NA,NA,NA,80000,1,NA,35,NA,2018,NA,NA,1,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,3,NA,1
ARLINGTON HEIGHTS,4410,91820,NA,NA,NA,NA,NA,NA,NA,135000,NA,NA,54,NA,2019,NA,NA,0,NA,NA,NA,70,NA,NA,NA,0,NA,NA,3,NA,NA
EVANSTON,13880,176800,NA,NA,NA,NA,NA,NA,NA,225000,1,NA,23,NA,2018,NA,NA,1,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,3,NA,1
PALATINE,62950,231960,1,6,3,1,0,2,1545,280000,1,3,67,1,2019,4,3,0,2,NA,2,80,1,5,3,0,2,2,3,222,NA
GLENVIEW,70910,385690,2,8,5,1,1,1,2874,490000,2,3,47,1,2018,1,3,1,2,NA,2,85,1,5,2,3,2,2,3,0,0
ARLINGTON HEIGHTS,35200,189020,1,5,3,1,0,1,1169,235000,1,4,62,1,2019,3,3,0,2,NA,2,70,1,5,2,3,0,2,3,0,NA
DES PLAINES,50020,194880,5,5,3,1,1,0,1523,283000,1,2,65,1,2018,1,3,0,2,NA,2,180,1,5,1,1,2,2,1,0,0
EVANSTON,14440,199030,NA,NA,NA,NA,NA,NA,NA,241000,1,NA,51,NA,2018,NA,NA,0,NA,NA,NA,80,NA,NA,NA,NA,NA,NA,3,NA,0
HOFFMAN ESTATES,68950,168190,2,6,3,1,1,1,1560,319000,2,3,41,1,2019,2,3,0,2,NA,2,109,1,5,3,0,0,2,3,0,NA
HOFFMAN ESTATES,60180,145770,2,6,3,1,1,1,1560,319000,2,3,41,1,2019,2,3,0,2,NA,2,109,1,5,3,0,0,2,3,0,NA
PALATINE,12200,40200,NA,NA,NA,NA,NA,NA,NA,99000,1,NA,37,NA,2018,NA,NA,0,NA,NA,NA,22,NA,NA,NA,NA,NA,NA,3,NA,1
HOFFMAN ESTATES,7070,52550,NA,NA,NA,NA,NA,NA,NA,70000,1,NA,39,NA,2018,NA,NA,1,NA,NA,NA,109,NA,NA,NA,NA,NA,NA,3,NA,1
EVANSTON,97280,562430,2,7,3,1,1,1,3328,1180000,2,3,112,1,2018,3,1,0,2,NA,2,43,1,5,2,1,2,2,3,0,0
EVANSTON,114450,650620,2,7,3,1,1,1,3328,1180000,2,3,112,1,2018,3,1,0,2,NA,2,43,1,5,2,1,2,2,3,0,0
HOFFMAN ESTATES,36190,174760,1,5,3,1,0,0,1607,259500,2,2,57,1,2018,2,3,0,2,NA,2,20,1,5,3,NA,0,2,3,0,0
NORTHBROOK,115010,422010,2,9,5,1,1,1,3154,600000,3,5,46,1,2018,3,1,0,2,NA,2,21,1,5,3,NA,0,2,3,0,0
MOUNT PROSPECT,45500,262740,1,8,4,1,1,1,1858,320000,2,3,48,1,2018,3,3,0,2,NA,2,10,1,5,1,3,0,2,3,0,0
PALATINE,4700,65120,NA,NA,NA,NA,NA,NA,NA,96500,1,NA,34,NA,2018,NA,NA,0,NA,NA,NA,70,NA,NA,NA,NA,NA,NA,3,NA,1
PALATINE,70320,418550,1,8,4,1,1,1,2400,512500,2,6,51,1,2018,3,1,0,1,NA,2,90,4,5,3,NA,0,2,3,550,0
SCHAUMBURG,54060,53010,NA,NA,NA,NA,NA,NA,NA,119440,1,NA,41,NA,2018,NA,NA,1,NA,NA,NA,101,NA,NA,NA,NA,NA,NA,3,NA,1
SCHAUMBURG,6300,444230,3,6,3,1,1,0,2400,445000,2,3,4,1,2018,2,3,0,2,NA,2,20,1,5,3,NA,2,2,3,0,0
SCHAUMBURG,5460,0,3,6,3,1,1,0,2400,445000,2,3,4,1,2018,2,3,0,2,NA,2,20,1,5,3,NA,2,2,3,0,0
ARLINGTON HEIGHTS,1270,307900,NA,NA,NA,NA,NA,NA,NA,380000,NA,NA,21,NA,2019,NA,NA,1,NA,NA,NA,72,NA,NA,NA,0,NA,NA,3,NA,NA
SKOKIE,10700,109120,NA,NA,NA,NA,NA,NA,NA,130000,1,NA,44,NA,2018,NA,NA,1,NA,NA,NA,52,NA,NA,NA,NA,NA,NA,3,NA,1
HOFFMAN ESTATES,35680,168130,2,6,3,1,1,1,1524,254000,2,3,30,1,2018,1,3,0,2,NA,2,33,1,5,3,NA,2,2,3,0,0
DES PLAINES,42900,174160,1,5,3,1,1,0,1045,227500,1,3,61,1,2018,1,3,1,2,NA,2,31,1,5,3,NA,0,2,3,0,0
MOUNT PROSPECT,3420,214180,NA,NA,NA,NA,NA,NA,NA,300000,NA,NA,19,NA,2019,NA,NA,1,NA,NA,NA,30,NA,NA,NA,0,NA,NA,3,NA,NA
HOFFMAN ESTATES,35190,141370,1,6,3,1,0,0,1225,265000,2,3,48,1,2018,2,3,0,2,NA,2,11,1,5,3,NA,2,2,3,0,0
DES PLAINES,4660,137510,NA,NA,NA,NA,NA,NA,NA,189900,1,NA,17,NA,2018,NA,NA,0,NA,NA,NA,180,NA,NA,NA,NA,NA,NA,3,NA,0
PALATINE,66330,309170,1,8,4,1,1,1,1963,425000,2,3,47,1,2019,1,3,0,2,NA,2,84,1,5,3,0,0,2,3,0,NA
PALATINE,66330,309170,1,8,4,1,1,1,1963,425000,2,3,47,1,2019,1,3,0,2,NA,2,84,1,5,3,0,0,2,3,0,NA
GLENVIEW,93180,415230,5,8,3,1,1,1,1798,535000,2,1,64,1,2018,1,1,1,2,NA,2,140,1,5,1,1,2,2,3,0,0
MOUNT PROSPECT,45500,317630,2,8,4,1,1,1,2230,432000,2,3,50,1,2018,3,3,1,2,NA,2,10,1,5,3,NA,0,2,3,0,0
MOUNT PROSPECT,43220,292160,2,8,4,1,1,1,2230,432000,2,3,50,1,2018,3,3,1,2,NA,2,10,1,5,3,NA,0,2,3,0,0
PALATINE,51860,274800,2,7,3,1,1,1,2012,348000,2,3,17,1,2018,1,1,1,2,NA,2,50,1,5,3,NA,1,2,3,0,0
PALATINE,21880,293080,2,6,3,1,1,1,2001,315000,2,3,7,1,2019,1,3,1,2,NA,2,22,1,5,3,0,2,2,3,0,NA
SCHAUMBURG,12840,67520,NA,NA,NA,NA,NA,NA,NA,115000,1,NA,21,NA,2018,NA,NA,1,NA,NA,NA,40,NA,NA,NA,NA,NA,NA,3,NA,1
EVANSTON,104400,534080,2,8,4,2,0,1,2381,873000,3,3,87,1,2018,1,3,0,2,NA,2,20,1,5,3,NA,2,2,1,0,0
EVANSTON,22500,168850,2,10,5,2,0,0,2420,290000,3,3,128,1,2018,1,3,1,2,NA,2,60,1,5,1,2,0,2,3,0,0
MOUNT PROSPECT,2830,217230,NA,NA,NA,NA,NA,NA,NA,262000,NA,NA,39,NA,2019,NA,NA,1,NA,NA,NA,81,NA,NA,NA,0,NA,NA,3,NA,NA
SCHAUMBURG,11290,59380,NA,NA,NA,NA,NA,NA,NA,103000,1,NA,21,NA,2018,NA,NA,1,NA,NA,NA,40,NA,NA,NA,NA,NA,NA,3,NA,1
EVANSTON,12380,262200,NA,NA,NA,NA,NA,NA,NA,390000,1,NA,13,NA,2018,NA,NA,1,NA,NA,NA,71,NA,NA,NA,NA,NA,NA,3,NA,0
HOFFMAN ESTATES,53820,241000,2,9,4,1,1,2,2032,370000,2,3,49,1,2019,3,3,0,2,NA,2,33,1,5,3,0,0,2,3,0,NA
ARLINGTON HEIGHTS,4030,130480,NA,NA,NA,NA,NA,NA,NA,182000,1,NA,21,NA,2018,NA,NA,1,NA,NA,NA,31,NA,NA,NA,NA,NA,NA,3,NA,1
SCHAUMBURG,40130,273610,2,8,4,1,1,1,2216,387500,2,3,44,1,2018,4,3,0,2,NA,2,40,1,5,3,NA,0,2,3,0,0
SCHAUMBURG,40130,273610,2,8,4,1,1,1,2216,387500,2,3,44,1,2018,4,3,0,2,NA,2,40,1,5,3,NA,0,2,3,0,0
SCHAUMBURG,42500,170680,1,7,3,1,1,1,1318,292000,2,3,36,1,2019,2,3,0,2,NA,2,114,1,5,3,0,0,2,3,0,NA
SCHAUMBURG,47500,184040,1,7,3,1,1,1,1318,292000,2,3,36,1,2019,2,3,0,2,NA,2,114,1,5,3,0,0,2,3,0,NA
SCHAUMBURG,49670,201680,1,7,4,1,1,1,1187,260000,2,3,43,1,2018,3,1,0,2,NA,2,40,1,5,3,NA,0,2,3,0,0
SCHAUMBURG,62100,306620,2,8,4,1,1,1,2248,391000,2,3,32,1,2018,3,3,0,2,NA,2,112,1,5,3,NA,2,2,3,0,0
PALATINE,13640,63150,NA,NA,NA,NA,NA,NA,NA,71000,1,NA,29,NA,2018,NA,NA,1,NA,NA,NA,70,NA,NA,NA,NA,NA,NA,3,NA,1
PALATINE,13640,63150,NA,NA,NA,NA,NA,NA,NA,71000,1,NA,29,NA,2018,NA,NA,1,NA,NA,NA,70,NA,NA,NA,NA,NA,NA,3,NA,1
ARLINGTON HEIGHTS,2530,65500,NA,NA,NA,NA,NA,NA,NA,92500,1,NA,45,NA,2018,NA,NA,1,NA,NA,NA,40,NA,NA,NA,NA,NA,NA,3,NA,1
ARLINGTON HEIGHTS,2530,65500,NA,NA,NA,NA,NA,NA,NA,92500,1,NA,45,NA,2018,NA,NA,1,NA,NA,NA,40,NA,NA,NA,NA,NA,NA,3,NA,1
SCHAUMBURG,8450,109140,NA,NA,NA,NA,NA,NA,NA,194900,1,NA,19,NA,2018,NA,NA,1,NA,NA,NA,30,NA,NA,NA,NA,NA,NA,3,NA,1
SCHAUMBURG,8450,109140,NA,NA,NA,NA,NA,NA,NA,194900,1,NA,19,NA,2018,NA,NA,1,NA,NA,NA,30,NA,NA,NA,NA,NA,NA,3,NA,1
EVANSTON,83120,374950,1,6,3,1,1,1,1408,535000,2,3,65,1,2018,2,3,0,2,NA,2,120,1,5,3,NA,2,2,1,0,0
NORTHBROOK,2570,201400,NA,NA,NA,NA,NA,NA,NA,350000,1,NA,37,NA,2018,NA,NA,0,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,3,NA,0
MOUNT PROSPECT,2740,197670,NA,NA,NA,NA,NA,NA,NA,255000,1,NA,17,NA,2018,NA,NA,1,NA,NA,NA,81,NA,NA,NA,NA,NA,NA,3,NA,1
HOFFMAN ESTATES,8180,44980,NA,NA,NA,NA,NA,NA,NA,85000,1,NA,40,NA,2018,NA,NA,1,NA,NA,NA,20,NA,NA,NA,NA,NA,NA,3,NA,1
SCHAUMBURG,9790,96370,NA,NA,NA,NA,NA,NA,NA,153000,1,NA,28,NA,2018,NA,NA,0,NA,NA,NA,30,NA,NA,NA,NA,NA,NA,3,NA,1
SCHAUMBURG,9790,96370,NA,NA,NA,NA,NA,NA,NA,153000,1,NA,28,NA,2018,NA,NA,0,NA,NA,NA,30,NA,NA,NA,NA,NA,NA,3,NA,1
SCHAUMBURG,9790,96370,NA,NA,NA,NA,NA,NA,NA,152000,NA,NA,31,NA,2019,NA,NA,0,NA,NA,NA,30,NA,NA,NA,0,NA,NA,3,NA,NA
SCHAUMBURG,9790,96370,NA,NA,NA,NA,NA,NA,NA,152000,NA,NA,31,NA,2019,NA,NA,0,NA,NA,NA,30,NA,NA,NA,0,NA,NA,3,NA,NA
PALATINE,74310,292560,2,8,4,1,1,2,2255,368000,2,3,48,1,2019,3,3,0,2,NA,2,70,1,5,3,0,2,2,3,0,NA
SCHAUMBURG,15760,96390,NA,NA,NA,NA,NA,NA,NA,145000,NA,NA,24,NA,2019,NA,NA,1,NA,NA,NA,12,NA,NA,NA,0,NA,NA,3,NA,NA
SCHAUMBURG,17350,92900,NA,NA,NA,NA,NA,NA,NA,145000,NA,NA,24,NA,2019,NA,NA,1,NA,NA,NA,12,NA,NA,NA,0,NA,NA,3,NA,NA
EVANSTON,2510,213870,NA,NA,NA,NA,NA,NA,NA,355000,1,NA,13,NA,2018,NA,NA,0,NA,NA,NA,41,NA,NA,NA,NA,NA,NA,3,NA,1
EVANSTON,3140,235190,NA,NA,NA,NA,NA,NA,NA,355000,1,NA,13,NA,2018,NA,NA,0,NA,NA,NA,41,NA,NA,NA,NA,NA,NA,3,NA,1
SCHAUMBURG,59800,307310,2,7,4,1,1,2,2200,401000,2,3,43,1,2019,3,3,0,2,NA,2,112,1,5,3,0,0,1,3,0,NA
EVANSTON,35640,229500,1,5,3,1,0,0,1470,196000,2,0,52,0,2018,2,3,0,2,NA,2,60,1,5,3,NA,0,2,3,0,0
EVANSTON,35640,229500,1,5,3,1,0,0,1470,196000,2,0,52,0,2018,2,3,0,2,NA,2,60,1,5,3,NA,0,2,3,0,0
EVANSTON,35640,229500,1,5,3,1,0,1,1470,330000,2,0,55,0,2019,2,3,0,2,NA,2,60,1,5,3,0,0,2,3,0,NA
EVANSTON,35640,229500,1,5,3,1,0,1,1470,330000,2,0,55,0,2019,2,3,0,2,NA,2,60,1,5,3,0,0,2,3,0,NA
NORTHBROOK,149940,451630,1,6,3,1,1,1,2727,630500,2,3,32,1,2018,3,3,1,2,NA,2,21,1,5,3,NA,0,2,3,0,0
NORTHBROOK,121380,308970,1,6,3,1,1,1,2727,630500,2,3,32,1,2018,3,3,1,2,NA,2,21,1,5,3,NA,0,2,3,0,0
SKOKIE,40590,218470,1,6,3,1,1,0,1211,319000,2,4,63,1,2018,3,1,0,2,NA,2,81,1,5,3,NA,2,2,3,0,0
EVANSTON,81670,573870,2,12,5,2,0,1,2442,715000,3,1,92,1,2018,1,3,0,2,NA,2,41,5,5,2,1,2,2,3,0,0
MOUNT PROSPECT,50320,190310,1,5,3,1,1,1,1193,252500,1,2,59,1,2019,1,3,0,2,NA,2,10,1,5,2,3,0,2,3,0,NA
HOFFMAN ESTATES,36460,159760,1,5,3,1,1,1,1522,258500,1,1,54,1,2019,2,3,0,2,NA,2,11,1,5,3,0,2,2,3,0,NA
EVANSTON,64800,376320,2,7,4,1,1,2,1876,470000,1,1,73,1,2019,1,3,0,2,NA,2,60,1,5,3,0,1,2,3,0,NA
