property_city,Estimate (Land),Estimate (Building),Type of Residence,Rooms,Bedrooms,Central Heating,Central Air,Fireplaces,Building Square Feet,Sale Price,Full Baths,Garage 1 Size,Age,Garage indicator,Tax Year,Basement,Basement Finish,Near Major Road,Construction Quality,Renovation,Repair Condition,Neighborhood Code,Roof Material,Other Heating,Attic Type,Attic Finish,Cathedral Ceiling,Site Desireability,Porch,Other Improvements,Large Lot
ARLINGTON HEIGHTS,72860,424030,2,9,5,1,1,1,3444,510000,3,3,32,1,2018,1,3,1,2,NA,2,14,1,5,3,NA,0,2,3,146,0
DES PLAINES,7210,54340,NA,NA,NA,NA,NA,NA,NA,79800,1,NA,46,NA,2018,NA,NA,0,NA,NA,NA,50,NA,NA,NA,NA,NA,NA,3,NA,0
ARLINGTON HEIGHTS,49240,294980,2,8,4,1,1,2,2450,409000,2,3,51,1,2019,1,3,0,2,NA,2,11,1,5,2,3,0,2,3,0,NA
ARLINGTON HEIGHTS,16600,194340,2,5,2,1,0,1,1165,157000,1,3,67,1,2019,1,3,1,2,NA,2,52,1,5,3,0,2,2,3,0,NA
HOFFMAN ESTATES,37500,191610,4,6,3,1,0,0,1380,205000,1,1,57,1,2018,3,1,0,2,NA,2,20,1,5,3,NA,0,2,3,0,0
HOFFMAN ESTATES,37500,191610,4,6,3,1,0,0,1380,205000,1,1,57,1,2018,3,1,0,2,NA,2,20,1,5,3,NA,0,2,3,0,0
HOFFMAN ESTATES,37500,191610,4,6,3,1,0,1,1380,200000,1,1,60,1,2019,3,1,0,2,NA,2,20,1,5,3,0,0,2,3,0,NA
HOFFMAN ESTATES,37500,191610,4,6,3,1,0,1,1380,200000,1,1,60,1,2019,3,1,0,2,NA,2,20,1,5,3,0,0,2,3,0,NA
SCHAUMBURG,39780,225390,2,8,4,1,1,1,1798,295000,2,3,43,1,2018,2,3,0,2,NA,2,40,1,5,3,NA,0,2,3,0,0
SCHAUMBURG,35100,219330,2,8,4,1,1,1,1798,295000,2,3,43,1,2018,2,3,0,2,NA,2,40,1,5,3,NA,0,2,3,0,0
MOUNT PROSPECT,17100,224290,NA,NA,NA,NA,NA,NA,NA,282100,NA,NA,27,NA,2019,NA,NA,1,NA,NA,NA,30,NA,NA,NA,0,NA,NA,3,NA,NA
HOFFMAN ESTATES,37530,155650,1,6,3,1,0,0,1296,250000,1,3,59,1,2018,2,3,0,2,NA,2,20,1,2,2,3,0,2,3,0,0
HOFFMAN ESTATES,37530,155650,1,6,3,1,0,0,1296,250000,1,3,59,1,2018,2,3,0,2,NA,2,20,1,2,2,3,0,2,3,0,0
SKOKIE,5090,117750,NA,NA,NA,NA,NA,NA,NA,178000,1,NA,40,NA,2018,NA,NA,1,NA,NA,NA,52,NA,NA,NA,NA,NA,NA,3,NA,0
